PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$,own% ownership
Daniel Bellinger,TE,NYG,WAS,106,44,1.5,21.25,2800,1.74,0.6,0,0,1.1,1.1,0.4,0.06
Audric Estime,RB,DEN,PIT,132,36.5,3,16.75,4000,2.44,0.6,0,3.1,0.6,3.7,0.9,0.05
Trent Sherfield,WR,MIN,SF,216,45.5,6,19.75,3200,1.94,0.6,0,0.1,1.2,1.3,0.4,0.04
Nelson Agholor,WR,BAL,LV,-468,41.5,-9.5,25.5,3600,2.33,0.6,0,0.1,1.2,1.3,0.4,0.04
Peyton Hendershot,TE,KC,CIN,-258,47.5,-6,26.75,2500,1.54,0.6,0,0,0.8,0.8,0.3,0.04
AJ Barner,TE,SEA,NE,-180,38,-3.5,20.75,2500,1.5,0.6,0,0,0.9,0.9,0.4,0.04
Jacob Cowing,WR,SF,MIN,-268,45.5,-6,25.75,3300,1.99,0.6,0,0.1,1.1,1.2,0.4,0.04
Jalen Brooks,WR,DAL,NO,-300,46,-6.5,26.25,3200,1.96,0.6,0,0,1.3,1.3,0.4,0.03
Ronnie Bell,WR,SF,MIN,-268,45.5,-6,25.75,3000,1.91,0.6,0,0.1,1,1.1,0.4,0.03
Nick Westbrook-Ikhine,WR,TEN,NYJ,153,41,3.5,18.75,3200,2.05,0.6,0,0.1,1.3,1.4,0.4,0.03
Bub Means,WR,NO,DAL,238,46,6.5,19.75,3000,1.84,0.6,0,0,1.2,1.2,0.4,0.03
Ronnie Rivers,RB,LAR,ARI,103,49.5,1.5,24,4000,2.17,0.5,0,2.5,0.3,2.8,0.7,0.03
Laviska Shenault,WR,SEA,NE,-180,38,-3.5,20.75,3000,1.58,0.5,0,1,0.9,1.9,0.6,0.02
JuJu Smith-Schuster,WR,KC,CIN,-258,47.5,-6,26.75,3500,1.8,0.5,0,0.1,1,1.1,0.3,0.02
Deonte Harty,WR,BAL,LV,-468,41.5,-9.5,25.5,3000,1.53,0.5,0,0.2,0.7,0.9,0.3,0.02
Mo Alie-Cox,TE,IND,GB,-175,40.5,-3.5,22,2500,1.34,0.5,0,0,0.8,0.8,0.3,0.02
Anthony Gould,WR,IND,GB,-175,40.5,-3.5,22,3000,1.39,0.5,0,0,0.9,0.9,0.3,0.02
Cordarrelle Patterson,RB,PIT,DEN,-157,36.5,-3,19.75,4400,2.37,0.5,0,1.9,0.7,2.6,0.6,0.02
David Moore,WR,CAR,LAC,228,39,6.5,16.25,3000,1.44,0.5,0,0,0.9,0.9,0.3,0.02
Devontez Walker,WR,BAL,LV,-468,41.5,-9.5,25.5,3000,1.43,0.5,0,0,0.8,0.8,0.3,0.02
Pharaoh Brown,TE,SEA,NE,-180,38,-3.5,20.75,2500,1.17,0.5,0,0,0.6,0.6,0.2,-
Tim Jones,WR,JAX,CLE,-174,42,-3.5,22.75,3000,1.39,0.5,0,0.1,0.7,0.8,0.3,0.01
Chris Moore,WR,ARI,LAR,-123,49.5,-1.5,25.5,3000,1.54,0.5,0,0.1,0.8,0.9,0.3,0.01
Stone Smartt,TE,LAC,CAR,-283,39,-6.5,22.75,2500,1.32,0.5,0,0,0.7,0.7,0.3,0.01
Kyle Juszczyk,RB,SF,MIN,-268,45.5,-6,25.75,4000,2.1,0.5,0,0.3,1.1,1.4,0.4,0.01
Isaac Guerendo,RB,SF,MIN,-268,45.5,-6,25.75,4600,2.14,0.5,0,2.2,0.4,2.6,0.6,0.01
Will Dissly,TE,LAC,CAR,-283,39,-6.5,22.75,2900,1.5,0.5,0,0,0.8,0.8,0.3,0.01
Tip Reiman,TE,ARI,LAR,-123,49.5,-1.5,25.5,2500,1,0.4,0,0,0.6,0.6,0.2,0.01
Ryan Flournoy,WR,DAL,NO,-300,46,-6.5,26.25,3000,1.35,0.4,0,0,0.8,0.8,0.3,0.01
Deuce Vaughn,RB,DAL,NO,-300,46,-6.5,26.25,4000,1.63,0.4,0,1.2,0.6,1.8,0.5,0.01
Jordan Mims,RB,NO,DAL,238,46,6.5,19.75,4000,1.74,0.4,0,3.1,0.4,3.5,0.9,0.01
Ashton Dulin,WR,IND,GB,-175,40.5,-3.5,22,3200,1.39,0.4,0,0.1,0.8,0.9,0.3,0.01
Tutu Atwell,WR,LAR,ARI,103,49.5,1.5,24,3700,1.36,0.4,0,0.1,0.8,0.9,0.2,0.01
Chris Conley,WR,SF,MIN,-268,45.5,-6,25.75,3700,1.59,0.4,0,0.1,0.8,0.9,0.2,0.01
Jared Wiley,TE,KC,CIN,-258,47.5,-6,26.75,2500,1.13,0.4,0,0,0.6,0.6,0.2,0.01
Jamison Crowder,WR,WAS,NYG,-126,44,-1.5,22.75,3000,0.79,0.3,0,0,0.5,0.5,0.2,0.01
Jha'Quan Jackson,WR,TEN,NYJ,153,41,3.5,18.75,3000,0.77,0.3,0,0,0.6,0.6,0.2,0.01
Emanuel Wilson,RB,GB,IND,145,40.5,3.5,18.5,4500,1.59,0.3,0,1.3,0.5,1.8,0.4,0.01
Tylan Wallace,WR,BAL,LV,-468,41.5,-9.5,25.5,3000,0.77,0.3,0,0.1,0.5,0.6,0.2,0.01
Blake Corum,RB,LAR,ARI,103,49.5,1.5,24,4700,1.52,0.3,0,1.2,0.4,1.6,0.3,0.01
Harrison Bryant,TE,LV,BAL,358,41.5,9.5,16,2500,0.81,0.3,0,0,0.5,0.5,0.2,0.01
Kayshon Boutte,WR,NE,SEA,149,38,3.5,17.25,3000,0.94,0.3,0,0,0.6,0.6,0.2,0.01
Trey Sermon,RB,IND,GB,-175,40.5,-3.5,22,4500,1.38,0.3,0,1.8,0.3,2.1,0.5,0
Isaiah Davis,RB,NYJ,TEN,-186,41,-3.5,22.25,4500,1.2,0.3,0,1.5,0.2,1.7,0.4,0
